"entidad","nom_abr","cve_ent","municipio","cve_mun"
"Chiapas","Chis.",7,"Chiapilla","7_28"
"Chiapas","Chis.",7,"Chicoasén","7_29"
"Chiapas","Chis.",7,"Chicomuselo","7_30"
"Chiapas","Chis.",7,"Chilón","7_31"
"Chiapas","Chis.",7,"Escuintla","7_32"
"Chiapas","Chis.",7,"Francisco León","7_33"
"Chiapas","Chis.",7,"Frontera Comalapa","7_34"
"Chiapas","Chis.",7,"Frontera Hidalgo","7_35"
"Chiapas","Chis.",7,"La Grandeza","7_36"
"Chiapas","Chis.",7,"Huehuetán","7_37"
"Chiapas","Chis.",7,"Huixtán","7_38"
"Chiapas","Chis.",7,"Huitiupán","7_39"
"Chiapas","Chis.",7,"Huixtla","7_40"
"Chiapas","Chis.",7,"La Independencia","7_41"
"Chiapas","Chis.",7,"Ixhuatán","7_42"
"Chiapas","Chis.",7,"Ixtacomitán","7_43"
"Chiapas","Chis.",7,"Ixtapa","7_44"
"Chiapas","Chis.",7,"Ixtapangajoya","7_45"
"Chiapas","Chis.",7,"Jiquipilas","7_46"
"Chiapas","Chis.",7,"Jitotol","7_47"
"Chiapas","Chis.",7,"Juárez","7_48"
"Chiapas","Chis.",7,"Larráinzar","7_49"
"Chiapas","Chis.",7,"La Libertad","7_50"
"Chiapas","Chis.",7,"Mapastepec","7_51"
"Chiapas","Chis.",7,"Las Margaritas","7_52"
"Chiapas","Chis.",7,"Mazapa de Madero","7_53"
"Chiapas","Chis.",7,"Mazatán","7_54"
"Chiapas","Chis.",7,"Metapa","7_55"
"Chiapas","Chis.",7,"Mitontic","7_56"
"Chiapas","Chis.",7,"Motozintla","7_57"
"Chiapas","Chis.",7,"Nicolás Ruíz","7_58"
"Chiapas","Chis.",7,"Ocosingo","7_59"
"Chiapas","Chis.",7,"Ocotepec","7_60"
"Chiapas","Chis.",7,"Ocozocoautla de Espinosa","7_61"
"Chiapas","Chis.",7,"Ostuacán","7_62"
"Chiapas","Chis.",7,"Osumacinta","7_63"
"Chiapas","Chis.",7,"Oxchuc","7_64"
"Chiapas","Chis.",7,"Palenque","7_65"
"Chiapas","Chis.",7,"Pantelhó","7_66"
"Chiapas","Chis.",7,"Pantepec","7_67"
"Chiapas","Chis.",7,"Pichucalco","7_68"
"Chiapas","Chis.",7,"Pijijiapan","7_69"
"Chiapas","Chis.",7,"El Porvenir","7_70"
"Chiapas","Chis.",7,"Villa Comaltitlán","7_71"
"Chiapas","Chis.",7,"Pueblo Nuevo Solistahuacán","7_72"
"Chiapas","Chis.",7,"Rayón","7_73"
"Chiapas","Chis.",7,"Reforma","7_74"
"Chiapas","Chis.",7,"Las Rosas","7_75"
"Chiapas","Chis.",7,"Sabanilla","7_76"
"Chiapas","Chis.",7,"Salto de Agua","7_77"
"Chiapas","Chis.",7,"San Cristóbal de las Casas","7_78"
"Chiapas","Chis.",7,"San Fernando","7_79"
"Chiapas","Chis.",7,"Siltepec","7_80"
"Chiapas","Chis.",7,"Simojovel","7_81"
"Chiapas","Chis.",7,"Sitalá","7_82"
"Chiapas","Chis.",7,"Socoltenango","7_83"
"Chiapas","Chis.",7,"Solosuchiapa","7_84"
"Chiapas","Chis.",7,"Soyaló","7_85"
"Chiapas","Chis.",7,"Suchiapa","7_86"
"Chiapas","Chis.",7,"Suchiate","7_87"
"Chiapas","Chis.",7,"Sunuapa","7_88"
"Chiapas","Chis.",7,"Tapachula","7_89"
"Chiapas","Chis.",7,"Tapalapa","7_90"
"Chiapas","Chis.",7,"Tapilula","7_91"
"Chiapas","Chis.",7,"Tecpatán","7_92"
"Chiapas","Chis.",7,"Tenejapa","7_93"
"Chiapas","Chis.",7,"Teopisca","7_94"
"Chiapas","Chis.",7,"Tila","7_96"
"Chiapas","Chis.",7,"Tonalá","7_97"
"Chiapas","Chis.",7,"Totolapa","7_98"
"Chiapas","Chis.",7,"La Trinitaria","7_99"
"Chiapas","Chis.",7,"Tumbalá","7_100"
"Chiapas","Chis.",7,"Tuxtla Gutiérrez","7_101"
"Chiapas","Chis.",7,"Tuxtla Chico","7_102"
"Chiapas","Chis.",7,"Tuzantán","7_103"
"Chiapas","Chis.",7,"Tzimol","7_104"
"Chiapas","Chis.",7,"Unión Juárez","7_105"
"Chiapas","Chis.",7,"Venustiano Carranza","7_106"
"Chiapas","Chis.",7,"Villa Corzo","7_107"
"Chiapas","Chis.",7,"Villaflores","7_108"
"Chiapas","Chis.",7,"Yajalón","7_109"
"Chiapas","Chis.",7,"San Lucas","7_110"
"Chiapas","Chis.",7,"Zinacantán","7_111"
"Chiapas","Chis.",7,"San Juan Cancuc","7_112"
"Chiapas","Chis.",7,"Aldama","7_113"
"Chiapas","Chis.",7,"Benemérito de las Américas","7_114"
"Chiapas","Chis.",7,"Maravilla Tenejapa","7_115"
"Chiapas","Chis.",7,"Marqués de Comillas","7_116"
"Chiapas","Chis.",7,"Montecristo de Guerrero","7_117"
"Chiapas","Chis.",7,"San Andrés Duraznal","7_118"
"Chiapas","Chis.",7,"Santiago el Pinar","7_119"
"Chiapas","Chis.",7,"Capitán Luis Ángel Vidal","7_120"
"Chiapas","Chis.",7,"Rincón Chamula San Pedro","7_121"
"Chiapas","Chis.",7,"El Parral","7_122"
"Chiapas","Chis.",7,"Emiliano Zapata","7_123"
"Chiapas","Chis.",7,"Mezcalapa","7_124"
"Chiapas","Chis.",7,"Honduras de la Sierra","7_125"
"Chihuahua","Chih.",8,"Ahumada","8_1"
"Chihuahua","Chih.",8,"Aldama","8_2"
"Chihuahua","Chih.",8,"Allende","8_3"
"Chihuahua","Chih.",8,"Aquiles Serdán","8_4"
"Chihuahua","Chih.",8,"Ascensión","8_5"
"Chihuahua","Chih.",8,"Bachíniva","8_6"
"Chihuahua","Chih.",8,"Balleza","8_7"
"Chihuahua","Chih.",8,"Batopilas de Manuel Gómez Morín","8_8"
"Chihuahua","Chih.",8,"Bocoyna","8_9"
"Chihuahua","Chih.",8,"Buenaventura","8_10"
"Chihuahua","Chih.",8,"Camargo","8_11"
"Chihuahua","Chih.",8,"Carichí","8_12"
"Chihuahua","Chih.",8,"Casas Grandes","8_13"
"Chihuahua","Chih.",8,"Coronado","8_14"
"Chihuahua","Chih.",8,"Coyame del Sotol","8_15"
"Chihuahua","Chih.",8,"La Cruz","8_16"
"Chihuahua","Chih.",8,"Cuauhtémoc","8_17"
"Chihuahua","Chih.",8,"Cusihuiriachi","8_18"
"Chihuahua","Chih.",8,"Chihuahua","8_19"
"Chihuahua","Chih.",8,"Chínipas","8_20"
"Chihuahua","Chih.",8,"Delicias","8_21"
"Chihuahua","Chih.",8,"Dr. Belisario Domínguez","8_22"
"Chihuahua","Chih.",8,"Galeana","8_23"
"Chihuahua","Chih.",8,"Santa Isabel","8_24"
"Chihuahua","Chih.",8,"Gómez Farías","8_25"
"Chihuahua","Chih.",8,"Gran Morelos","8_26"
"Chihuahua","Chih.",8,"Guachochi","8_27"
"Chihuahua","Chih.",8,"Guadalupe","8_28"
"Chihuahua","Chih.",8,"Guadalupe y Calvo","8_29"
"Chihuahua","Chih.",8,"Guazapares","8_30"
"Chihuahua","Chih.",8,"Guerrero","8_31"
"Chihuahua","Chih.",8,"Hidalgo del Parral","8_32"
"Chihuahua","Chih.",8,"Huejotitán","8_33"
"Chihuahua","Chih.",8,"Ignacio Zaragoza","8_34"
"Chihuahua","Chih.",8,"Janos","8_35"
"Chihuahua","Chih.",8,"Jiménez","8_36"
"Chihuahua","Chih.",8,"Juárez","8_37"
"Chihuahua","Chih.",8,"Julimes","8_38"
"Chihuahua","Chih.",8,"López","8_39"
"Chihuahua","Chih.",8,"Madera","8_40"
"Chihuahua","Chih.",8,"Maguarichi","8_41"
"Chihuahua","Chih.",8,"Manuel Benavides","8_42"
"Chihuahua","Chih.",8,"Matachí","8_43"
"Chihuahua","Chih.",8,"Matamoros","8_44"
"Chihuahua","Chih.",8,"Meoqui","8_45"
"Chihuahua","Chih.",8,"Morelos","8_46"
"Chihuahua","Chih.",8,"Moris","8_47"
"Chihuahua","Chih.",8,"Namiquipa","8_48"
"Chihuahua","Chih.",8,"Nonoava","8_49"
"Chihuahua","Chih.",8,"Nuevo Casas Grandes","8_50"
"Chihuahua","Chih.",8,"Ocampo","8_51"
"Chihuahua","Chih.",8,"Ojinaga","8_52"
"Chihuahua","Chih.",8,"Praxedis G. Guerrero","8_53"
"Chihuahua","Chih.",8,"Riva Palacio","8_54"
"Chihuahua","Chih.",8,"Rosales","8_55"
"Chihuahua","Chih.",8,"Rosario","8_56"
"Chihuahua","Chih.",8,"San Francisco de Borja","8_57"
"Chihuahua","Chih.",8,"San Francisco de Conchos","8_58"
"Chihuahua","Chih.",8,"San Francisco del Oro","8_59"
"Chihuahua","Chih.",8,"Santa Bárbara","8_60"
"Chihuahua","Chih.",8,"Satevó","8_61"
"Chihuahua","Chih.",8,"Saucillo","8_62"
"Chihuahua","Chih.",8,"Temósachic","8_63"
"Chihuahua","Chih.",8,"El Tule","8_64"
"Chihuahua","Chih.",8,"Urique","8_65"
"Chihuahua","Chih.",8,"Uruachi","8_66"
"Chihuahua","Chih.",8,"Valle de Zaragoza","8_67"
"Ciudad de México","CDMX",9,"Azcapotzalco","9_2"
"Ciudad de México","CDMX",9,"Coyoacán","9_3"
"Ciudad de México","CDMX",9,"Cuajimalpa de Morelos","9_4"
"Ciudad de México","CDMX",9,"Gustavo A. Madero","9_5"
"Ciudad de México","CDMX",9,"Iztacalco","9_6"
"Ciudad de México","CDMX",9,"Iztapalapa","9_7"
"Ciudad de México","CDMX",9,"La Magdalena Contreras","9_8"
"Ciudad de México","CDMX",9,"Milpa Alta","9_9"
"Ciudad de México","CDMX",9,"Álvaro Obregón","9_10"
"Ciudad de México","CDMX",9,"Tláhuac","9_11"
"Ciudad de México","CDMX",9,"Tlalpan","9_12"
"Ciudad de México","CDMX",9,"Xochimilco","9_13"
"Ciudad de México","CDMX",9,"Benito Juárez","9_14"
"Ciudad de México","CDMX",9,"Cuauhtémoc","9_15"
"Ciudad de México","CDMX",9,"Miguel Hidalgo","9_16"
"Ciudad de México","CDMX",9,"Venustiano Carranza","9_17"
"Durango","Dgo.",10,"Canatlán","10_1"
"Durango","Dgo.",10,"Canelas","10_2"
"Durango","Dgo.",10,"Coneto de Comonfort","10_3"
"Durango","Dgo.",10,"Cuencamé","10_4"
"Durango","Dgo.",10,"Durango","10_5"
"Durango","Dgo.",10,"General Simón Bolívar","10_6"
"Durango","Dgo.",10,"Gómez Palacio","10_7"
"Durango","Dgo.",10,"Guadalupe Victoria","10_8"
"Durango","Dgo.",10,"Guanaceví","10_9"
"Durango","Dgo.",10,"Hidalgo","10_10"
"Durango","Dgo.",10,"Indé","10_11"
"Durango","Dgo.",10,"Lerdo","10_12"
"Durango","Dgo.",10,"Mapimí","10_13"
"Durango","Dgo.",10,"Mezquital","10_14"
"Durango","Dgo.",10,"Nazas","10_15"
"Durango","Dgo.",10,"Nombre de Dios","10_16"
